event_key,learn_time,exit_ratio,c_start,c_end
clickVideoExit,41,0.979657168,NULL,NULL
clickVideoExit,673,1.1490776,NULL,NULL
clickVideoExit,14,0,NULL,NULL
clickVideoExit,43,0,NULL,NULL
clickVideoExit,29,0,NULL,NULL
clickVideoExit,16,0.198047952,NULL,NULL
clickVideoExit,66,0.105298673,NULL,NULL
clickVideoExit,11,0.018318446,NULL,NULL
clickVideoExit,2,0.001090469,NULL,NULL
clickVideoExit,20,0.515543687,NULL,NULL
clickVideoExit,141,0.937997999,NULL,NULL
clickVideoExit,816,1.149419496,NULL,NULL
clickVideoExit,1,0,NULL,NULL
clickVideoExit,13,0,NULL,NULL
clickVideoExit,9,0.001171445,NULL,NULL
clickVideoExit,39,0.063022292,NULL,NULL
clickVideoExit,743,0.922027841,NULL,NULL
clickVideoExit,19,0.178124393,NULL,NULL
clickVideoExit,10,0.015043439,NULL,NULL
clickVideoExit,42,0.065876226,NULL,NULL
clickVideoExit,75,0.063378584,NULL,NULL
clickVideoExit,5,0.006630989,NULL,NULL
clickVideoExit,21,0,NULL,NULL
clickVideoExit,19,0.033091967,NULL,NULL
clickVideoExit,4,0,NULL,NULL
clickVideoExit,2,0.000624411,NULL,NULL
clickVideoExit,237,0.412447546,NULL,NULL
clickVideoExit,4,0.00474876,NULL,NULL
clickVideoExit,1,0,NULL,NULL
clickVideoExit,61,0.384048556,NULL,NULL
clickVideoExit,676,1.150558551,NULL,NULL
clickVideoExit,18,0.26464396,NULL,NULL
clickVideoExit,95,0.439822646,NULL,NULL
clickVideoExit,7,0,NULL,NULL
clickVideoExit,7,0,NULL,NULL
clickVideoExit,25,0.684687003,NULL,NULL
clickVideoExit,25,0.214718097,NULL,NULL
clickVideoExit,34,0.056977924,NULL,NULL
clickVideoExit,89,0.158578719,NULL,NULL
clickVideoExit,42,0.091613823,NULL,NULL
clickVideoExit,40,0.069716262,NULL,NULL
clickVideoExit,19,0.028884842,NULL,NULL
clickVideoExit,44,0.073559897,NULL,NULL
clickVideoExit,30,0.523979529,NULL,NULL
clickVideoExit,88,0.152714297,NULL,NULL
clickVideoExit,18,0.479007565,NULL,NULL
clickVideoExit,253,0.390458213,NULL,NULL
clickVideoExit,641,1.134100741,NULL,NULL
clickVideoExit,4,0,NULL,NULL
clickVideoExit,4,0,NULL,NULL
clickVideoExit,17,0.005850026,NULL,NULL
clickVideoExit,2,0.001443162,NULL,NULL
clickVideoExit,6,1.104071446,NULL,NULL
clickVideoExit,2,1.121682706,NULL,NULL
clickVideoExit,3,0.004586809,NULL,NULL
clickVideoExit,6,0.055164074,NULL,NULL
clickVideoExit,648,1.149433892,NULL,NULL
clickVideoExit,16,0.024564352,NULL,NULL
clickVideoExit,197,0.841869345,NULL,NULL
clickVideoExit,23,1.140292663,NULL,NULL
clickVideoExit,34,0.05646508,NULL,NULL
clickVideoExit,11,0.652750286,NULL,NULL
clickVideoExit,325,1.104719249,NULL,NULL
clickVideoExit,450,1.14848198,NULL,NULL
clickVideoExit,6,0.164518718,NULL,NULL
clickVideoExit,84,0.146797691,NULL,NULL
clickVideoExit,43,0.297915872,NULL,NULL
clickVideoExit,3,0,NULL,NULL
clickVideoExit,360,0.960061109,NULL,NULL
clickVideoExit,221,0.382038566,NULL,NULL
clickVideoExit,22,0,NULL,NULL
clickVideoExit,161,0,NULL,NULL
clickVideoExit,121,0.370633624,NULL,NULL
clickVideoExit,323,1.031324902,NULL,NULL
clickVideoExit,8,0,NULL,NULL
clickVideoExit,277,0,NULL,NULL
clickVideoExit,3,0.001801254,NULL,NULL
clickVideoExit,38,0.030356796,NULL,NULL
clickVideoExit,2,0.001853438,NULL,NULL
clickVideoExit,330,1.108598873,NULL,NULL
clickVideoExit,373,0.657984899,NULL,NULL
clickVideoExit,71,0.082213473,NULL,NULL
clickVideoExit,4,0.000358091,NULL,NULL
clickVideoExit,4,0.004462647,NULL,NULL
clickVideoExit,32,0.050906565,NULL,NULL
clickVideoExit,222,0.512891291,NULL,NULL
clickVideoExit,28,0,NULL,NULL
clickVideoExit,26,0.1075192,NULL,NULL
clickVideoExit,184,0,NULL,NULL
clickVideoExit,3,0,NULL,NULL
clickVideoExit,4,0,NULL,NULL
clickVideoExit,261,0.935288021,NULL,NULL
clickVideoExit,23,0.905789565,NULL,NULL
clickVideoExit,5,0.095371083,NULL,NULL
clickVideoExit,6,0.008824524,NULL,NULL
clickVideoExit,68,0.575213595,NULL,NULL
clickVideoExit,66,0.105761133,NULL,NULL
clickVideoExit,71,0,NULL,NULL
clickVideoExit,5,0.001036486,NULL,NULL
clickVideoExit,36,0.062226933,NULL,NULL
clickVideoExit,378,0.75949932,NULL,NULL
clickVideoExit,95,0.164664474,NULL,NULL
clickVideoExit,23,0.062871137,NULL,NULL
clickVideoExit,4,0.073435734,NULL,NULL
clickVideoExit,741,0,NULL,NULL
clickVideoExit,613,1.149383507,NULL,NULL
clickVideoExit,344,1.149563452,NULL,NULL
clickVideoExit,655,0,NULL,NULL
clickVideoExit,227,0,NULL,NULL
clickVideoExit,7,0,NULL,NULL
clickVideoExit,13,0.000498449,NULL,NULL
clickVideoExit,8,0,NULL,NULL
clickVideoExit,4,0,NULL,NULL
clickVideoExit,5,0,NULL,NULL
clickVideoExit,38,0.066268507,NULL,NULL
clickVideoExit,502,0,NULL,NULL
clickVideoExit,12,0.017944159,NULL,NULL
clickVideoExit,907,0,NULL,NULL
clickVideoExit,185,0.38964486,NULL,NULL
clickVideoExit,0.587,NULL,NULL,NULL
clickVideoExit,827,1.126462057,NULL,NULL
clickVideoExit,82,0.109806307,NULL,NULL
clickVideoExit,375,0.917147721,NULL,NULL
clickVideoExit,1048,0.815113258,NULL,NULL
clickVideoExit,13,0.096693682,NULL,NULL
clickVideoExit,69,0.136965472,NULL,NULL
clickVideoExit,3,0.143092614,NULL,NULL
clickVideoExit,34,0.782341594,NULL,NULL
clickVideoExit,36,0.062043388,NULL,NULL
clickVideoExit,3,0.159766359,NULL,NULL
clickVideoExit,1,0,NULL,NULL
clickVideoExit,951,0,NULL,NULL
clickVideoExit,182,0.695388358,NULL,NULL
clickVideoExit,257,0.31632609,NULL,NULL
clickVideoExit,270,0.476785239,NULL,NULL
clickVideoExit,0.273,NULL,NULL,NULL
clickVideoExit,663,1.148791486,NULL,NULL
clickVideoExit,14,0.025424491,NULL,NULL
clickVideoExit,96,0.910232418,NULL,NULL
clickVideoExit,3,0.002990693,NULL,NULL
clickVideoExit,28,0.062099172,NULL,NULL
clickVideoExit,628,1.046220786,NULL,NULL
clickVideoExit,187,0.306574847,NULL,NULL
clickVideoExit,287,1.110382132,NULL,NULL
clickVideoExit,17,1.071641678,NULL,NULL
clickVideoExit,4,0.053024523,NULL,NULL
clickVideoExit,2,0.008997272,NULL,NULL
clickVideoExit,832,1.150929238,NULL,NULL
clickVideoExit,123,0.208688126,NULL,NULL
clickVideoExit,222,0.396059915,NULL,NULL
clickVideoExit,242,0.431955431,NULL,NULL
clickVideoExit,2,0,NULL,NULL
clickVideoExit,11,0.059914634,NULL,NULL
clickVideoExit,5,0,NULL,NULL
clickVideoExit,674,1.145736013,NULL,NULL
clickVideoExit,15,0.818958692,NULL,NULL
clickVideoExit,20,0.03393771,NULL,NULL
clickVideoExit,583,0,NULL,NULL
clickVideoExit,33,0.06626131,NULL,NULL
clickVideoExit,648,0,NULL,NULL
clickVideoExit,9,0,NULL,NULL
clickVideoExit,2,0,NULL,NULL
clickVideoExit,15,0,NULL,NULL
clickVideoExit,298,0.614911359,NULL,NULL
clickVideoExit,35,0.005020478,NULL,NULL
clickVideoExit,17,0.027468671,NULL,NULL
clickVideoExit,645,1.150851862,NULL,NULL
clickVideoExit,469,0.577716636,NULL,NULL
clickVideoExit,425,0.479326068,NULL,NULL
clickVideoExit,803,0.003337988,NULL,NULL
clickVideoExit,361,0,NULL,NULL
clickVideoExit,20,0,NULL,NULL
clickVideoExit,520,0.920627866,NULL,NULL
clickVideoExit,71,0.150486572,NULL,NULL
clickVideoExit,269,0.477729952,NULL,NULL
